MA TRADER ||  2018-04-16T06:53 #:  0 {}
Observing MA Touch ||  Time:  10:26  || Last Bar open: 12472.5  high: 12472.5 low: 12470.0 close: 12470.0  || SMA60  12559.79
 no touch 
Observing MA Touch ||  Time:  10:27  || Last Bar open: 12472.5  high: 12477.5 low: 12467.5 close: 12467.5  || SMA60  12559.79
MA TRADER ||  2018-04-16T10:27 #:  0 {} last Price  open: 12472.5  high: 12477.5 low: 12467.5 close: 12467.5  SMA  12559.791666666666  last trade time  2018-04-16T10:16
 no touch 
Observing MA Touch ||  Time:  10:28  || Last Bar open: 12472.5  high: 12477.5 low: 12462.5 close: 12465.0  || SMA60  12559.79
MA TRADER ||  2018-04-16T10:28 #:  0 {} last Price  open: 12472.5  high: 12477.5 low: 12462.5 close: 12465.0  SMA  12559.791666666666  last trade time  2018-04-16T10:16
 no touch 
MA TRADER ||  2018-04-16T10:29 #:  0 {} last Price  open: 12472.5  high: 12477.5 low: 12455.0 close: 12457.5  SMA  12559.791666666666  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:29  || Last Bar open: 12472.5  high: 12477.5 low: 12455.0 close: 12457.5  || SMA60  12559.79
 no touch 
MA TRADER ||  2018-04-16T10:30 #:  0 {} last Price  open: 12472.5  high: 12477.5 low: 12452.5 close: 12452.5  SMA  12559.791666666666  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:30  || Last Bar open: 12472.5  high: 12477.5 low: 12452.5 close: 12452.5  || SMA60  12559.79
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:31
MA TRADER ||  2018-04-16T10:31 #:  0 {} last Price  open: 12465.0  high: 12465.0 low: 12457.5 close: 12457.5  SMA  12557.75  last trade time  2018-04-16T10:16
Observing MA Touch ||  Time:  10:31  || Last Bar open: 12465.0  high: 12465.0 low: 12457.5 close: 12457.5  || SMA60  12557.75
 no touch 
Observing MA Touch ||  Time:  10:32  || Last Bar open: 12465.0  high: 12465.0 low: 12452.5 close: 12455.0  || SMA60  12557.75
MA TRADER ||  2018-04-16T10:32 #:  0 {} last Price  open: 12465.0  high: 12465.0 low: 12452.5 close: 12455.0  SMA  12557.75  last trade time  2018-04-16T10:16
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:32
MA TRADER ||  2018-04-16T10:32 #:  0 {} last Price  open: 12450.0  high: 12450.0 low: 12447.5 close: 12450.0  SMA  0.0  last trade time  2018-04-16T10:32
MA TRADER ||  2018-04-16T10:33 #:  0 {} last Price  open: 12465.0  high: 12465.0 low: 12447.5 close: 12450.0  SMA  12557.75  last trade time  2018-04-16T10:32
Observing MA Touch ||  Time:  10:33  || Last Bar open: 12465.0  high: 12465.0 low: 12447.5 close: 12450.0  || SMA60  12557.75
 no touch 
Observing MA Touch ||  Time:  10:34  || Last Bar open: 12465.0  high: 12465.0 low: 12435.0 close: 12437.5  || SMA60  12557.75
MA TRADER ||  2018-04-16T10:34 #:  0 {} last Price  open: 12465.0  high: 12465.0 low: 12435.0 close: 12437.5  SMA  12557.75  last trade time  2018-04-16T10:32
 no touch 
Observing MA Touch ||  Time:  10:35  || Last Bar open: 12465.0  high: 12465.0 low: 12435.0 close: 12442.5  || SMA60  12557.75
MA TRADER ||  2018-04-16T10:35 #:  0 {} last Price  open: 12465.0  high: 12465.0 low: 12435.0 close: 12442.5  SMA  12557.75  last trade time  2018-04-16T10:32
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:36
MA TRADER ||  2018-04-16T10:36 #:  0 {} last Price  open: 12445.0  high: 12445.0 low: 12442.5 close: 12445.0  SMA  0.0  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:37  || Last Bar open: 12442.5  high: 12457.5 low: 12442.5 close: 12452.5  || SMA60  12555.42
MA TRADER ||  2018-04-16T10:37 #:  0 {} last Price  open: 12442.5  high: 12457.5 low: 12442.5 close: 12452.5  SMA  12555.416666666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:38  || Last Bar open: 12442.5  high: 12457.5 low: 12442.5 close: 12447.5  || SMA60  12555.42
MA TRADER ||  2018-04-16T10:38 #:  0 {} last Price  open: 12442.5  high: 12457.5 low: 12442.5 close: 12447.5  SMA  12555.416666666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:39  || Last Bar open: 12442.5  high: 12457.5 low: 12442.5 close: 12447.5  || SMA60  12555.42
MA TRADER ||  2018-04-16T10:39 #:  0 {} last Price  open: 12442.5  high: 12457.5 low: 12442.5 close: 12447.5  SMA  12555.416666666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:40  || Last Bar open: 12442.5  high: 12457.5 low: 12437.5 close: 12442.5  || SMA60  12555.42
MA TRADER ||  2018-04-16T10:40 #:  0 {} last Price  open: 12442.5  high: 12457.5 low: 12437.5 close: 12442.5  SMA  12555.416666666666  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:41
MA TRADER ||  2018-04-16T10:41 #:  0 {} last Price  open: 12442.5  high: 12442.5 low: 12440.0 close: 12440.0  SMA  12552.979166666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:41  || Last Bar open: 12442.5  high: 12442.5 low: 12440.0 close: 12440.0  || SMA60  12552.98
 no touch 
MA TRADER ||  2018-04-16T10:42 #:  0 {} last Price  open: 12442.5  high: 12442.5 low: 12422.5 close: 12427.5  SMA  12552.979166666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:42  || Last Bar open: 12442.5  high: 12442.5 low: 12422.5 close: 12427.5  || SMA60  12552.98
 no touch 
Observing MA Touch ||  Time:  10:43  || Last Bar open: 12442.5  high: 12442.5 low: 12420.0 close: 12422.5  || SMA60  12552.98
MA TRADER ||  2018-04-16T10:43 #:  0 {} last Price  open: 12442.5  high: 12442.5 low: 12420.0 close: 12422.5  SMA  12552.979166666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:44  || Last Bar open: 12442.5  high: 12442.5 low: 12420.0 close: 12430.0  || SMA60  12552.98
MA TRADER ||  2018-04-16T10:44 #:  0 {} last Price  open: 12442.5  high: 12442.5 low: 12420.0 close: 12430.0  SMA  12552.979166666666  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T10:45 #:  0 {} last Price  open: 12442.5  high: 12442.5 low: 12420.0 close: 12425.0  SMA  12552.979166666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:45  || Last Bar open: 12442.5  high: 12442.5 low: 12420.0 close: 12425.0  || SMA60  12552.98
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:46
MA TRADER ||  2018-04-16T10:46 #:  0 {} last Price  open: 12420.0  high: 12422.5 low: 12417.5 close: 12417.5  SMA  12550.333333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:46  || Last Bar open: 12420.0  high: 12422.5 low: 12417.5 close: 12417.5  || SMA60  12550.33
 no touch 
Observing MA Touch ||  Time:  10:47  || Last Bar open: 12420.0  high: 12422.5 low: 12410.0 close: 12410.0  || SMA60  12550.33
MA TRADER ||  2018-04-16T10:47 #:  0 {} last Price  open: 12420.0  high: 12422.5 low: 12410.0 close: 12410.0  SMA  12550.333333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:48  || Last Bar open: 12420.0  high: 12422.5 low: 12400.0 close: 12402.5  || SMA60  12550.33
MA TRADER ||  2018-04-16T10:48 #:  0 {} last Price  open: 12420.0  high: 12422.5 low: 12400.0 close: 12402.5  SMA  12550.333333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:49  || Last Bar open: 12420.0  high: 12422.5 low: 12392.5 close: 12397.5  || SMA60  12550.33
MA TRADER ||  2018-04-16T10:49 #:  0 {} last Price  open: 12420.0  high: 12422.5 low: 12392.5 close: 12397.5  SMA  12550.333333333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T10:50 #:  0 {} last Price  open: 12420.0  high: 12422.5 low: 12392.5 close: 12405.0  SMA  12550.333333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:50  || Last Bar open: 12420.0  high: 12422.5 low: 12392.5 close: 12405.0  || SMA60  12550.33
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:51
MA TRADER ||  2018-04-16T10:51 #:  0 {} last Price  open: 12397.5  high: 12397.5 low: 12392.5 close: 12397.5  SMA  12547.291666666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:51  || Last Bar open: 12397.5  high: 12397.5 low: 12392.5 close: 12397.5  || SMA60  12547.29
 no touch 
Observing MA Touch ||  Time:  10:52  || Last Bar open: 12397.5  high: 12402.5 low: 12392.5 close: 12400.0  || SMA60  12547.29
MA TRADER ||  2018-04-16T10:52 #:  0 {} last Price  open: 12397.5  high: 12402.5 low: 12392.5 close: 12400.0  SMA  12547.291666666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:53  || Last Bar open: 12397.5  high: 12410.0 low: 12392.5 close: 12402.5  || SMA60  12547.29
MA TRADER ||  2018-04-16T10:53 #:  0 {} last Price  open: 12397.5  high: 12410.0 low: 12392.5 close: 12402.5  SMA  12547.291666666666  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T10:54 #:  0 {} last Price  open: 12397.5  high: 12410.0 low: 12392.5 close: 12405.0  SMA  12547.291666666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  10:54  || Last Bar open: 12397.5  high: 12410.0 low: 12392.5 close: 12405.0  || SMA60  12547.29
 no touch 
Observing MA Touch ||  Time:  10:55  || Last Bar open: 12397.5  high: 12410.0 low: 12392.5 close: 12405.0  || SMA60  12547.29
MA TRADER ||  2018-04-16T10:55 #:  0 {} last Price  open: 12397.5  high: 12410.0 low: 12392.5 close: 12405.0  SMA  12547.291666666666  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T10:56
Observing MA Touch ||  Time:  10:56  || Last Bar open: 12400.0  high: 12402.5 low: 12397.5 close: 12402.5  || SMA60  12544.15
MA TRADER ||  2018-04-16T10:56 #:  0 {} last Price  open: 12400.0  high: 12402.5 low: 12397.5 close: 12402.5  SMA  12544.145833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:57  || Last Bar open: 12400.0  high: 12402.5 low: 12397.5 close: 12397.5  || SMA60  12544.15
MA TRADER ||  2018-04-16T10:57 #:  0 {} last Price  open: 12400.0  high: 12402.5 low: 12397.5 close: 12397.5  SMA  12544.145833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:58  || Last Bar open: 12400.0  high: 12402.5 low: 12395.0 close: 12397.5  || SMA60  12544.15
MA TRADER ||  2018-04-16T10:58 #:  0 {} last Price  open: 12400.0  high: 12402.5 low: 12395.0 close: 12397.5  SMA  12544.145833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  10:59  || Last Bar open: 12400.0  high: 12402.5 low: 12390.0 close: 12390.0  || SMA60  12544.15
MA TRADER ||  2018-04-16T10:59 #:  0 {} last Price  open: 12400.0  high: 12402.5 low: 12390.0 close: 12390.0  SMA  12544.145833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:00  || Last Bar open: 12400.0  high: 12402.5 low: 12375.0 close: 12377.5  || SMA60  12544.15
MA TRADER ||  2018-04-16T11:00 #:  0 {} last Price  open: 12400.0  high: 12402.5 low: 12375.0 close: 12377.5  SMA  12544.145833333334  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:01
Observing MA Touch ||  Time:  11:01  || Last Bar open: 12380.0  high: 12380.0 low: 12380.0 close: 12380.0  || SMA60  12540.75
 no touch 
MA TRADER ||  2018-04-16T11:01 #:  0 {} last Price  open: 12380.0  high: 12380.0 low: 12380.0 close: 12380.0  SMA  12540.75  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:02  || Last Bar open: 12380.0  high: 12382.5 low: 12372.5 close: 12372.5  || SMA60  12540.75
 no touch 
MA TRADER ||  2018-04-16T11:02 #:  0 {} last Price  open: 12380.0  high: 12382.5 low: 12372.5 close: 12372.5  SMA  12540.75  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:03  || Last Bar open: 12380.0  high: 12382.5 low: 12362.5 close: 12362.5  || SMA60  12540.75
MA TRADER ||  2018-04-16T11:03 #:  0 {} last Price  open: 12380.0  high: 12382.5 low: 12362.5 close: 12362.5  SMA  12540.75  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:04 #:  0 {} last Price  open: 12380.0  high: 12382.5 low: 12357.5 close: 12365.0  SMA  12540.75  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:04  || Last Bar open: 12380.0  high: 12382.5 low: 12357.5 close: 12365.0  || SMA60  12540.75
 no touch 
Observing MA Touch ||  Time:  11:05  || Last Bar open: 12380.0  high: 12382.5 low: 12357.5 close: 12360.0  || SMA60  12540.75
MA TRADER ||  2018-04-16T11:05 #:  0 {} last Price  open: 12380.0  high: 12382.5 low: 12357.5 close: 12360.0  SMA  12540.75  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:06
MA TRADER ||  2018-04-16T11:06 #:  0 {} last Price  open: 12360.0  high: 12362.5 low: 12360.0 close: 12360.0  SMA  12537.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:06  || Last Bar open: 12360.0  high: 12362.5 low: 12360.0 close: 12360.0  || SMA60  12537.08
 no touch 
Observing MA Touch ||  Time:  11:07  || Last Bar open: 12360.0  high: 12365.0 low: 12357.5 close: 12357.5  || SMA60  12537.08
MA TRADER ||  2018-04-16T11:07 #:  0 {} last Price  open: 12360.0  high: 12365.0 low: 12357.5 close: 12357.5  SMA  12537.083333333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:08 #:  0 {} last Price  open: 12360.0  high: 12365.0 low: 12357.5 close: 12360.0  SMA  12537.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:08  || Last Bar open: 12360.0  high: 12365.0 low: 12357.5 close: 12360.0  || SMA60  12537.08
 no touch 
MA TRADER ||  2018-04-16T11:09 #:  0 {} last Price  open: 12360.0  high: 12365.0 low: 12345.0 close: 12345.0  SMA  12537.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:09  || Last Bar open: 12360.0  high: 12365.0 low: 12345.0 close: 12345.0  || SMA60  12537.08
 no touch 
MA TRADER ||  2018-04-16T11:10 #:  0 {} last Price  open: 12360.0  high: 12365.0 low: 12335.0 close: 12337.5  SMA  12537.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:10  || Last Bar open: 12360.0  high: 12365.0 low: 12335.0 close: 12337.5  || SMA60  12537.08
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:11
Observing MA Touch ||  Time:  11:11  || Last Bar open: 12332.5  high: 12335.0 low: 12327.5 close: 12332.5  || SMA60  12533.08
 no touch 
MA TRADER ||  2018-04-16T11:11 #:  0 {} last Price  open: 12332.5  high: 12335.0 low: 12327.5 close: 12332.5  SMA  12533.083333333334  last trade time  2018-04-16T10:36
MA TRADER ||  2018-04-16T11:12 #:  0 {} last Price  open: 12332.5  high: 12335.0 low: 12320.0 close: 12320.0  SMA  12533.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:12  || Last Bar open: 12332.5  high: 12335.0 low: 12320.0 close: 12320.0  || SMA60  12533.08
 no touch 
Observing MA Touch ||  Time:  11:13  || Last Bar open: 12332.5  high: 12335.0 low: 12312.5 close: 12320.0  || SMA60  12533.08
MA TRADER ||  2018-04-16T11:13 #:  0 {} last Price  open: 12332.5  high: 12335.0 low: 12312.5 close: 12320.0  SMA  12533.083333333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:14 #:  0 {} last Price  open: 12332.5  high: 12335.0 low: 12312.5 close: 12317.5  SMA  12533.083333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:14  || Last Bar open: 12332.5  high: 12335.0 low: 12312.5 close: 12317.5  || SMA60  12533.08
 no touch 
Observing MA Touch ||  Time:  11:15  || Last Bar open: 12332.5  high: 12335.0 low: 12302.5 close: 12307.5  || SMA60  12533.08
MA TRADER ||  2018-04-16T11:15 #:  0 {} last Price  open: 12332.5  high: 12335.0 low: 12302.5 close: 12307.5  SMA  12533.083333333334  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:16
Observing MA Touch ||  Time:  11:16  || Last Bar open: 12307.5  high: 12310.0 low: 12307.5 close: 12307.5  || SMA60  12528.69
MA TRADER ||  2018-04-16T11:16 #:  0 {} last Price  open: 12307.5  high: 12310.0 low: 12307.5 close: 12307.5  SMA  12528.6875  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:17  || Last Bar open: 12307.5  high: 12312.5 low: 12305.0 close: 12312.5  || SMA60  12528.69
MA TRADER ||  2018-04-16T11:17 #:  0 {} last Price  open: 12307.5  high: 12312.5 low: 12305.0 close: 12312.5  SMA  12528.6875  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:18 #:  0 {} last Price  open: 12307.5  high: 12317.5 low: 12305.0 close: 12315.0  SMA  12528.6875  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:18  || Last Bar open: 12307.5  high: 12317.5 low: 12305.0 close: 12315.0  || SMA60  12528.69
 no touch 
Observing MA Touch ||  Time:  11:19  || Last Bar open: 12307.5  high: 12322.5 low: 12305.0 close: 12320.0  || SMA60  12528.69
MA TRADER ||  2018-04-16T11:19 #:  0 {} last Price  open: 12307.5  high: 12322.5 low: 12305.0 close: 12320.0  SMA  12528.6875  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:20  || Last Bar open: 12307.5  high: 12322.5 low: 12305.0 close: 12320.0  || SMA60  12528.69
MA TRADER ||  2018-04-16T11:20 #:  0 {} last Price  open: 12307.5  high: 12322.5 low: 12305.0 close: 12320.0  SMA  12528.6875  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:21
Observing MA Touch ||  Time:  11:21  || Last Bar open: 12320.0  high: 12322.5 low: 12320.0 close: 12320.0  || SMA60  12524.21
 no touch 
MA TRADER ||  2018-04-16T11:21 #:  0 {} last Price  open: 12320.0  high: 12322.5 low: 12320.0 close: 12320.0  SMA  12524.208333333334  last trade time  2018-04-16T10:36
MA TRADER ||  2018-04-16T11:22 #:  0 {} last Price  open: 12320.0  high: 12325.0 low: 12315.0 close: 12317.5  SMA  12524.208333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:22  || Last Bar open: 12320.0  high: 12325.0 low: 12315.0 close: 12317.5  || SMA60  12524.21
 no touch 
Observing MA Touch ||  Time:  11:23  || Last Bar open: 12320.0  high: 12325.0 low: 12315.0 close: 12320.0  || SMA60  12524.21
MA TRADER ||  2018-04-16T11:23 #:  0 {} last Price  open: 12320.0  high: 12325.0 low: 12315.0 close: 12320.0  SMA  12524.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:24  || Last Bar open: 12320.0  high: 12332.5 low: 12315.0 close: 12330.0  || SMA60  12524.21
MA TRADER ||  2018-04-16T11:24 #:  0 {} last Price  open: 12320.0  high: 12332.5 low: 12315.0 close: 12330.0  SMA  12524.208333333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:25 #:  0 {} last Price  open: 12320.0  high: 12332.5 low: 12315.0 close: 12327.5  SMA  12524.208333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:25  || Last Bar open: 12320.0  high: 12332.5 low: 12315.0 close: 12327.5  || SMA60  12524.21
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:26
Observing MA Touch ||  Time:  11:26  || Last Bar open: 12325.0  high: 12325.0 low: 12322.5 close: 12322.5  || SMA60  12519.9
MA TRADER ||  2018-04-16T11:26 #:  0 {} last Price  open: 12325.0  high: 12325.0 low: 12322.5 close: 12322.5  SMA  12519.895833333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:27 #:  0 {} last Price  open: 12325.0  high: 12325.0 low: 12315.0 close: 12315.0  SMA  12519.895833333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:27  || Last Bar open: 12325.0  high: 12325.0 low: 12315.0 close: 12315.0  || SMA60  12519.9
 no touch 
MA TRADER ||  2018-04-16T11:28 #:  0 {} last Price  open: 12325.0  high: 12325.0 low: 12310.0 close: 12312.5  SMA  12519.895833333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:28  || Last Bar open: 12325.0  high: 12325.0 low: 12310.0 close: 12312.5  || SMA60  12519.9
 no touch 
Observing MA Touch ||  Time:  11:29  || Last Bar open: 12325.0  high: 12325.0 low: 12310.0 close: 12317.5  || SMA60  12519.9
MA TRADER ||  2018-04-16T11:29 #:  0 {} last Price  open: 12325.0  high: 12325.0 low: 12310.0 close: 12317.5  SMA  12519.895833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:30  || Last Bar open: 12325.0  high: 12327.5 low: 12310.0 close: 12320.0  || SMA60  12519.9
MA TRADER ||  2018-04-16T11:30 #:  0 {} last Price  open: 12325.0  high: 12327.5 low: 12310.0 close: 12320.0  SMA  12519.895833333334  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:31
Observing MA Touch ||  Time:  11:31  || Last Bar open: 12325.0  high: 12327.5 low: 12310.0 close: 12315.0  || SMA60  12519.9
MA TRADER ||  2018-04-16T11:31 #:  0 {} last Price  open: 12325.0  high: 12327.5 low: 12310.0 close: 12315.0  SMA  12519.895833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:32  || Last Bar open: 12317.5  high: 12327.5 low: 12317.5 close: 12325.0  || SMA60  12515.52
MA TRADER ||  2018-04-16T11:32 #:  0 {} last Price  open: 12317.5  high: 12327.5 low: 12317.5 close: 12325.0  SMA  12515.520833333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:33  || Last Bar open: 12317.5  high: 12330.0 low: 12317.5 close: 12327.5  || SMA60  12515.52
MA TRADER ||  2018-04-16T11:33 #:  0 {} last Price  open: 12317.5  high: 12330.0 low: 12317.5 close: 12327.5  SMA  12515.520833333334  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:34 #:  0 {} last Price  open: 12317.5  high: 12330.0 low: 12317.5 close: 12327.5  SMA  12515.520833333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:34  || Last Bar open: 12317.5  high: 12330.0 low: 12317.5 close: 12327.5  || SMA60  12515.52
 no touch 
Observing MA Touch ||  Time:  11:35  || Last Bar open: 12317.5  high: 12330.0 low: 12317.5 close: 12322.5  || SMA60  12515.52
MA TRADER ||  2018-04-16T11:35 #:  0 {} last Price  open: 12317.5  high: 12330.0 low: 12317.5 close: 12322.5  SMA  12515.520833333334  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:36
Observing MA Touch ||  Time:  11:36  || Last Bar open: 12325.0  high: 12325.0 low: 12325.0 close: 12325.0  || SMA60  12511.23
MA TRADER ||  2018-04-16T11:36 #:  0 {} last Price  open: 12325.0  high: 12325.0 low: 12325.0 close: 12325.0  SMA  12511.229166666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:37  || Last Bar open: 12325.0  high: 12335.0 low: 12325.0 close: 12335.0  || SMA60  12511.23
MA TRADER ||  2018-04-16T11:37 #:  0 {} last Price  open: 12325.0  high: 12335.0 low: 12325.0 close: 12335.0  SMA  12511.229166666666  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:38  || Last Bar open: 12325.0  high: 12337.5 low: 12325.0 close: 12332.5  || SMA60  12511.23
MA TRADER ||  2018-04-16T11:38 #:  0 {} last Price  open: 12325.0  high: 12337.5 low: 12325.0 close: 12332.5  SMA  12511.229166666666  last trade time  2018-04-16T10:36
 no touch 
MA TRADER ||  2018-04-16T11:39 #:  0 {} last Price  open: 12325.0  high: 12352.5 low: 12325.0 close: 12342.5  SMA  12511.229166666666  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:39  || Last Bar open: 12325.0  high: 12352.5 low: 12325.0 close: 12342.5  || SMA60  12511.23
 no touch 
Observing MA Touch ||  Time:  11:40  || Last Bar open: 12325.0  high: 12352.5 low: 12325.0 close: 12340.0  || SMA60  12511.23
MA TRADER ||  2018-04-16T11:40 #:  0 {} last Price  open: 12325.0  high: 12352.5 low: 12325.0 close: 12340.0  SMA  12511.229166666666  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:41
Observing MA Touch ||  Time:  11:41  || Last Bar open: 12340.0  high: 12342.5 low: 12337.5 close: 12342.5  || SMA60  12507.21
MA TRADER ||  2018-04-16T11:41 #:  0 {} last Price  open: 12340.0  high: 12342.5 low: 12337.5 close: 12342.5  SMA  12507.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:42  || Last Bar open: 12340.0  high: 12342.5 low: 12337.5 close: 12340.0  || SMA60  12507.21
MA TRADER ||  2018-04-16T11:42 #:  0 {} last Price  open: 12340.0  high: 12342.5 low: 12337.5 close: 12340.0  SMA  12507.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:43  || Last Bar open: 12340.0  high: 12347.5 low: 12337.5 close: 12345.0  || SMA60  12507.21
MA TRADER ||  2018-04-16T11:43 #:  0 {} last Price  open: 12340.0  high: 12347.5 low: 12337.5 close: 12345.0  SMA  12507.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:44  || Last Bar open: 12340.0  high: 12347.5 low: 12337.5 close: 12340.0  || SMA60  12507.21
MA TRADER ||  2018-04-16T11:44 #:  0 {} last Price  open: 12340.0  high: 12347.5 low: 12337.5 close: 12340.0  SMA  12507.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:45  || Last Bar open: 12340.0  high: 12347.5 low: 12337.5 close: 12342.5  || SMA60  12507.21
MA TRADER ||  2018-04-16T11:45 #:  0 {} last Price  open: 12340.0  high: 12347.5 low: 12337.5 close: 12342.5  SMA  12507.208333333334  last trade time  2018-04-16T10:36
 no touch 
CANCELLING ALL ORDERS  2018-04-16T11:46
Observing MA Touch ||  Time:  11:46  || Last Bar open: 12342.5  high: 12342.5 low: 12340.0 close: 12340.0  || SMA60  12503.21
MA TRADER ||  2018-04-16T11:46 #:  0 {} last Price  open: 12342.5  high: 12342.5 low: 12340.0 close: 12340.0  SMA  12503.208333333334  last trade time  2018-04-16T10:36
 no touch 
Observing MA Touch ||  Time:  11:47  || Last Bar open: 12342.5  high: 12342.5 low: 12337.5 close: 12340.0  || SMA60  12503.21
 no touch 
MA TRADER ||  2018-04-16T11:47 #:  0 {} last Price  open: 12342.5  high: 12342.5 low: 12337.5 close: 12340.0  SMA  12503.208333333334  last trade time  2018-04-16T10:36
Observing MA Touch ||  Time:  11:48  || Last Bar open: 12342.5  high: 12342.5 low: 12337.5 close: 12342.5  || SMA60  12503.21
